parameter,importance
laps_completed,0.5856794336494815
collisions_per_lap,0.25156606638427664
lap_consistency,0.14112629154144932
avg_lap_time,0.011498599678321557
collisions,0.010111013734301153
runtime,2.5483288292527535e-06
turn_commitment_weight,1.431752300481288e-06
rollout_distance,1.029789583840431e-06
gap_alignment_weight,9.042013219199033e-07
safety_margin,8.796679570517679e-07
max_throttle,8.228138248841917e-07
progress_weight,8.172822853512652e-07
throttle_ramp_rate,7.729455192959565e-07
pursuit_blend,7.129412761375886e-07
max_steering_delta,6.583644346391218e-07
history_penalty_radius,6.554937120065628e-07
smoothness_weight,6.376103193046839e-07
forward_warning_distance,6.102300594340326e-07
forward_critical_distance,5.950208994779282e-07
history_penalty_weight,5.792316442241783e-07
steering_penalty_weight,5.712479830186784e-07
gap_threshold_scale,5.676104068125023e-07
forward_caution_distance,5.227145871746948e-07
disparity_threshold,5.051767316849909e-07
clearance_weight,4.92394830986464e-07
turn_prediction_gain,4.7364233826640415e-07
min_throttle,4.2525310032438444e-07
temporal_blend,4.153258924853799e-07
max_gap_threshold,3.8538449336458354e-07
max_jump_distance,3.021995637851936e-07
pursuit_lookahead,2.7838827462200904e-07
